,Combination of important items,Combination Length,occurrences of POS,occurrences of NEG
0,Wings_Does not have ∧ Breathes using lungs_Yes ∧ Legs<4.5,3,40,8
1,Wings_Does not have ∧ Spine_Has ∧ Breathes using lungs_Yes,3,40,7
2,Teeth_Has ∧ Breathes using lungs_Yes,2,39,6
3,Oviparous_No,1,39,2
4,Hair/fur_Has,1,39,4
5,Flies_Does not ∧ Breathes using lungs_Yes,2,38,12
6,Wings_Does not have ∧ Fins_Does not have ∧ Legs<4.5,3,37,12
7,Wings_Does not have ∧ Spine_Has ∧ Fins_Does not have,3,37,8
8,Teeth_Has ∧ Fins_Does not have,2,36,7
9,Aquatic_No ∧ Breathes using lungs_Yes ∧ Legs<4.5,3,36,13
10,Aquatic_No ∧ Spine_Has,2,36,12
11,Wings_Does not have ∧ Aquatic_No ∧ Legs<4.5,3,36,6
12,Flies_Does not ∧ Fins_Does not have ∧ Legs<4.5,3,35,13
13,Flies_Does not ∧ Spine_Has ∧ Fins_Does not have,3,35,9
14,Aquatic_No ∧ Teeth_Has,2,35,3
15,Flies_Does not ∧ Aquatic_No,2,34,10
16,Wings_Does not have ∧ Breathes using lungs_Yes ∧ Tail_Has,3,34,6
17,Wings_Does not have ∧ Fins_Does not have ∧ Tail_Has,3,32,7
18,Wings_Does not have ∧ Aquatic_No ∧ Tail_Has,3,31,5
19,Legs>=3.0 ∧ Legs<4.5,2,31,6
20,Spine_Has ∧ Legs>=3.0,2,31,5
21,Sized about the same as a cat?_Yes,1,31,8
22,Flies_Does not ∧ Fins_Does not have ∧ Tail_Has,3,30,8
23,Aquatic_No ∧ Legs>=3.0,2,30,11
24,Teeth_Has ∧ Legs>=3.0,2,30,4
25,Legs>=3.0 ∧ Tail_Has,2,28,4
26,Wings_Does not have ∧ Eats meat_Yes ∧ Breathes using lungs_Yes,3,21,7
27,Wings_Does not have ∧ Eats meat_No ∧ Legs<4.5,3,19,7
28,Wings_Does not have ∧ Eats meat_No ∧ Spine_Has,3,19,6
29,Eats meat_No ∧ Teeth_Has,2,19,5
30,Wings_Does not have ∧ Aquatic_No ∧ Eats meat_Yes,3,17,6
31,Flies_Does not ∧ Eats meat_No ∧ Fins_Does not have,3,17,6
32,Wings_Does not have ∧ Eats meat_No ∧ Tail_Has,3,17,5
33,Aquatic_No ∧ Eats meat_Yes ∧ Legs<4.5,3,17,6
34,Eats meat_Yes ∧ Breathes using lungs_Yes ∧ Legs>=3.0,3,17,5
35,Flies_Does not ∧ Eats meat_No ∧ Legs>=3.0,3,14,4
36,Sized about the same as a cat?_No,1,9,40
37,Wings_Does not have ∧ Breathes using lungs_Yes ∧ Legs<3.0,3,9,3
38,Aquatic_No ∧ Bred by humans_Has,2,8,3
39,Breathes using lungs_Yes ∧ Bred by humans_Has,2,8,3
40,Fins_Does not have ∧ Bred by humans_Has,2,8,3
41,Wings_Does not have ∧ Bred by humans_Has,2,8,2
42,Spine_Has ∧ Bred by humans_Has,2,8,3
43,Legs<4.5 ∧ Bred by humans_Has,2,8,3
44,Teeth_Has ∧ Bred by humans_Has,2,8,1
45,Flies_Does not ∧ Bred by humans_Has,2,8,1
46,Legs>=3.0 ∧ Bred by humans_Has,2,7,1
47,Legs<3.0 ∧ Tail_Has,2,6,26
48,Teeth_Has ∧ Tail_Does not have,2,6,2
49,Spine_Has ∧ Tail_Does not have,2,6,2
50,Fins_Does not have ∧ Legs<3.0 ∧ Bred by humans_Does not have,3,5,17
51,Fins_Does not have ∧ Tail_Does not have,2,5,18
52,Aquatic_Yes,1,4,25
53,Tail_Does not have ∧ Bred by humans_Does not have,2,4,17
54,Eats meat_Yes ∧ Legs<3.0,2,4,16
55,Legs>=3.0 ∧ Tail_Does not have,2,3,15
56,Breathes using lungs_Yes ∧ Legs<3.0 ∧ Tail_Does not have,3,3,1
57,Fins_Has,1,3,10
58,Breathes using lungs_Yes ∧ Fins_Has,2,3,0
59,Flies_Does,1,2,18
60,Eats meat_No ∧ Tail_Does not have,2,2,9
61,Eats meat_Yes ∧ Bred by humans_Has,2,2,0
62,Wings_Does not have ∧ Flies_Does ∧ Legs<3.0,3,2,0
63,Wings_Does not have ∧ Flies_Does ∧ Spine_Has,3,2,0
64,Flies_Does ∧ Teeth_Has,2,2,0
65,Wings_Does not have ∧ Flies_Does ∧ Legs<4.5,3,2,0
66,Wings_Does not have ∧ Flies_Does ∧ Tail_Has,3,2,0
67,Hair/fur_Does not have,1,1,44
68,Oviparous_Yes,1,1,46
69,Teeth_Does not have,1,1,31
70,Legs<3.0 ∧ Tail_Does not have ∧ Bred by humans_Has,3,1,0
71,Fins_Has ∧ Tail_Does not have,2,1,0
72,Spine_Does not have,1,0,17
73,Breathes using lungs_No,1,0,18
74,Legs>=4.5,1,0,13
75,Wings_Has,1,0,13
76,Eats meat_No ∧ Legs<3.0 ∧ Bred by humans_Has,3,0,3
