Name,Hair/fur,Wings,Oviparous,Flies,Aquatic,Eats meat,Teeth,Spine,Breathes using lungs,Fins,Legs,Tail,Bred by humans,Sized about the same as a cat?,Label
Aardvark,Has,Does not have,No,Does not,No,Yes,Has,Has,Yes,Does not have,4,Does not have,Does not have,Yes,1
Antelope,Has,Does not have,No,Does not,No,No,Has,Has,Yes,Does not have,4,Has,Does not have,Yes,1
Bear,Has,Does not have,No,Does not,No,Yes,Has,Has,Yes,Does not have,4,Does not have,Does not have,Yes,1
Wild boar,Has,Does not have,No,Does not,No,Yes,Has,Has,Yes,Does not have,4,Has,Does not have,Yes,1
Buffalo,Has,Does not have,No,Does not,No,No,Has,Has,Yes,Does not have,4,Has,Does not have,Yes,1
Calf,Has,Does not have,No,Does not,No,No,Has,Has,Yes,Does not have,4,Has,Has,Yes,1
Carp,Does not have,Does not have,Yes,Does not,Yes,No,Has,Has,No,Has,0,Has,Has,No,0
Cat fish,Does not have,Does not have,Yes,Does not,Yes,Yes,Has,Has,No,Has,0,Has,Does not have,No,0
Guinea pig,Has,Does not have,No,Does not,No,No,Has,Has,Yes,Does not have,4,Does not have,Has,No,1
Cheetah,Has,Does not have,No,Does not,No,Yes,Has,Has,Yes,Does not have,4,Has,Does not have,Yes,1
Chicken,Does not have,Has,Yes,Does,No,No,Does not have,Has,Yes,Does not have,2,Has,Has,No,0
Clam,Does not have,Does not have,Yes,Does not,No,Yes,Does not have,Does not have,No,Does not have,0,Does not have,Does not have,No,0
Crab,Does not have,Does not have,Yes,Does not,Yes,Yes,Does not have,Does not have,No,Does not have,4,Does not have,Does not have,No,0
Crayfish,Does not have,Does not have,Yes,Does not,Yes,Yes,Does not have,Does not have,No,Does not have,6,Does not have,Does not have,No,0
Crow,Does not have,Has,Yes,Does,No,Yes,Does not have,Has,Yes,Does not have,2,Has,Does not have,No,0
Deer,Has,Does not have,No,Does not,No,No,Has,Has,Yes,Does not have,4,Has,Does not have,Yes,1
Horn shark,Does not have,Does not have,Yes,Does not,Yes,Yes,Has,Has,No,Has,0,Has,Does not have,Yes,0
Pigeon,Does not have,Has,Yes,Does,No,No,Does not have,Has,Yes,Does not have,2,Has,Has,No,0
Duck,Does not have,Has,Yes,Does,Yes,No,Does not have,Has,Yes,Does not have,2,Has,Does not have,No,0
Elephant,Has,Does not have,No,Does not,No,No,Has,Has,Yes,Does not have,4,Has,Does not have,Yes,1
Flamingo,Does not have,Has,Yes,Does,No,No,Does not have,Has,Yes,Does not have,2,Has,Does not have,Yes,0
Flea,Does not have,Does not have,Yes,Does not,No,No,Does not have,Does not have,Yes,Does not have,6,Does not have,Does not have,No,0
Frog,Does not have,Does not have,Yes,Does not,Yes,Yes,Has,Has,Yes,Does not have,4,Does not have,Does not have,No,0
Giant bat,Has,Does not have,No,Does,No,No,Has,Has,Yes,Does not have,2,Has,Does not have,No,1
Giraffe,Has,Does not have,No,Does not,No,No,Has,Has,Yes,Does not have,4,Has,Does not have,Yes,1
Human,Has,Does not have,No,Does not,No,Yes,Has,Has,Yes,Does not have,2,Does not have,Has,Yes,1
Gnat,Does not have,Does not have,Yes,Does,No,No,Does not have,Does not have,Yes,Does not have,6,Does not have,Does not have,No,0
Goat,Has,Does not have,No,Does not,No,No,Has,Has,Yes,Does not have,4,Has,Has,Yes,1
Gorilla,Has,Does not have,No,Does not,No,No,Has,Has,Yes,Does not have,2,Does not have,Does not have,Yes,1
Gull,Does not have,Has,Yes,Does,Yes,Yes,Does not have,Has,Yes,Does not have,2,Has,Does not have,No,0
Haddock,Does not have,Does not have,Yes,Does not,Yes,No,Has,Has,No,Has,0,Has,Does not have,No,0
Hamster,Has,Does not have,No,Does not,No,No,Has,Has,Yes,Does not have,4,Has,Has,No,1
Hare,Has,Does not have,No,Does not,No,No,Has,Has,Yes,Does not have,4,Has,Does not have,No,1
Hawk,Does not have,Has,Yes,Does,No,Yes,Does not have,Has,Yes,Does not have,2,Has,Does not have,No,0
Herring,Does not have,Does not have,Yes,Does not,Yes,Yes,Has,Has,No,Has,0,Has,Does not have,No,0
Honeybee,Has,Does not have,Yes,Does,No,No,Does not have,Does not have,Yes,Does not have,6,Does not have,Has,No,0
Housefly,Has,Does not have,Yes,Does,No,No,Does not have,Does not have,Yes,Does not have,6,Does not have,Does not have,No,0
Ladybug,Does not have,Does not have,Yes,Does,No,Yes,Does not have,Does not have,Yes,Does not have,6,Does not have,Does not have,No,0
Leopard,Has,Does not have,No,Does not,No,Yes,Has,Has,Yes,Does not have,4,Has,Does not have,Yes,1
Lion,Has,Does not have,No,Does not,No,Yes,Has,Has,Yes,Does not have,4,Has,Does not have,Yes,1
Lobster,Does not have,Does not have,Yes,Does not,Yes,Yes,Does not have,Does not have,No,Does not have,6,Does not have,Does not have,No,0
Lynx,Has,Does not have,No,Does not,No,Yes,Has,Has,Yes,Does not have,4,Has,Does not have,Yes,1
Mink,Has,Does not have,No,Does not,Yes,Yes,Has,Has,Yes,Does not have,4,Has,Does not have,Yes,1
Mole,Has,Does not have,No,Does not,No,Yes,Has,Has,Yes,Does not have,4,Has,Does not have,No,1
Echidna,Has,Does not have,Yes,Does not,No,Yes,Does not have,Has,Yes,Does not have,4,Has,Does not have,Yes,1
Mongoose,Has,Does not have,No,Does not,No,Yes,Has,Has,Yes,Does not have,4,Has,Does not have,Yes,1
Moth,Has,Does not have,Yes,Does,No,No,Does not have,Does not have,Yes,Does not have,6,Does not have,Does not have,No,0
Newt,Does not have,Does not have,Yes,Does not,Yes,Yes,Has,Has,Yes,Does not have,4,Has,Does not have,No,0
Octopus,Does not have,Does not have,Yes,Does not,Yes,Yes,Does not have,Does not have,No,Does not have,8,Does not have,Does not have,Yes,0
Opossum,Has,Does not have,No,Does not,No,Yes,Has,Has,Yes,Does not have,4,Has,Does not have,No,1
Serow,Has,Does not have,No,Does not,No,No,Has,Has,Yes,Does not have,4,Has,Does not have,Yes,1
Ostrich,Does not have,Has,Yes,Does not,No,No,Does not have,Has,Yes,Does not have,2,Has,Does not have,Yes,0
Pheasant,Does not have,Has,Yes,Does,No,No,Does not have,Has,Yes,Does not have,2,Has,Does not have,No,0
Piranha,Does not have,Does not have,Yes,Does not,Yes,Yes,Has,Has,No,Has,0,Has,Does not have,No,0
Viper,Does not have,Does not have,Yes,Does not,No,Yes,Has,Has,Yes,Does not have,0,Has,Does not have,No,0
Ferret,Has,Does not have,No,Does not,No,Yes,Has,Has,Yes,Does not have,4,Has,Does not have,Yes,1
Pony,Has,Does not have,No,Does not,No,No,Has,Has,Yes,Does not have,4,Has,Has,Yes,1
Porpoise,Does not have,Does not have,No,Does not,Yes,Yes,Has,Has,Yes,Has,0,Has,Does not have,Yes,1
Puma,Has,Does not have,No,Does not,No,Yes,Has,Has,Yes,Does not have,4,Has,Does not have,Yes,1
Cat,Has,Does not have,No,Does not,No,Yes,Has,Has,Yes,Does not have,4,Has,Has,Yes,1
Raccoon,Has,Does not have,No,Does not,No,Yes,Has,Has,Yes,Does not have,4,Has,Does not have,Yes,1
Reindeer,Has,Does not have,No,Does not,No,No,Has,Has,Yes,Does not have,4,Has,Has,Yes,1
Scorpion,Does not have,Does not have,No,Does not,No,Yes,Does not have,Does not have,Yes,Does not have,8,Has,Does not have,No,0
Seahorse,Does not have,Does not have,Yes,Does not,Yes,No,Has,Has,No,Has,0,Has,Does not have,No,0
Fur seal,Has,Does not have,No,Does not,Yes,Yes,Has,Has,Yes,Has,0,Does not have,Does not have,Yes,1
Sea lion,Has,Does not have,No,Does not,Yes,Yes,Has,Has,Yes,Has,2,Has,Does not have,Yes,1
Sea snake,Does not have,Does not have,No,Does not,Yes,Yes,Has,Has,No,Does not have,0,Has,Does not have,No,0
Jellyfish,Does not have,Does not have,Yes,Does not,Yes,Yes,Does not have,Does not have,No,Does not have,0,Does not have,Does not have,No,0
Sea gill,Does not have,Has,Yes,Does,Yes,Yes,Does not have,Has,Yes,Does not have,2,Has,Does not have,No,0
Skua,Does not have,Has,Yes,Does,Yes,Yes,Does not have,Has,Yes,Does not have,2,Has,Does not have,No,0
Slowworm,Does not have,Does not have,Yes,Does not,No,Yes,Has,Has,Yes,Does not have,0,Has,Does not have,No,0
Slug,Does not have,Does not have,Yes,Does not,No,No,Does not have,Does not have,Yes,Does not have,0,Does not have,Does not have,No,0
Sole,Does not have,Does not have,Yes,Does not,Yes,No,Has,Has,No,Has,0,Has,Does not have,No,0
